example_id                                                                             | status | run_time        |
./spec/mailers/booking_reminder_mailer_spec.rb[1:2:1]                                  | passed | 0.18326 seconds |
./spec/mailers/booking_reminder_mailer_spec.rb[1:2:2]                                  | passed | 0.18371 seconds |
./spec/mailers/booking_reminder_mailer_spec.rb[1:2:3]                                  | passed | 0.18469 seconds |
./spec/models/accounting_integration_spec.rb[1:1:1]                                    | passed | 0.00248 seconds |
./spec/models/accounting_integration_spec.rb[1:1:2]                                    | passed | 0.00396 seconds |
./spec/models/accounting_integration_spec.rb[1:2:1]                                    | passed | 0.00353 seconds |
./spec/models/accounting_integration_spec.rb[1:2:2]                                    | passed | 0.00327 seconds |
./spec/models/accounting_integration_spec.rb[1:2:3]                                    | passed | 0.00337 seconds |
./spec/models/accounting_integration_spec.rb[1:2:4]                                    | passed | 0.00332 seconds |
./spec/models/accounting_integration_spec.rb[1:3:1:1]                                  | passed | 0.00575 seconds |
./spec/models/accounting_integration_spec.rb[1:3:2:1]                                  | passed | 0.005 seconds   |
./spec/models/accounting_integration_spec.rb[1:4:1]                                    | passed | 0.00168 seconds |
./spec/models/accounting_integration_spec.rb[1:4:2]                                    | passed | 0.00168 seconds |
./spec/models/accounting_integration_spec.rb[1:4:3]                                    | passed | 0.00184 seconds |
./spec/models/accounting_integration_spec.rb[1:5:1]                                    | passed | 0.00175 seconds |
./spec/models/accounting_integration_spec.rb[1:5:2]                                    | passed | 0.00173 seconds |
./spec/models/accounting_integration_spec.rb[1:5:3]                                    | passed | 0.0018 seconds  |
./spec/models/accounting_integration_spec.rb[1:6:1]                                    | passed | 0.00602 seconds |
./spec/models/accounting_integration_spec.rb[1:7:1]                                    | passed | 0.01007 seconds |
./spec/models/accounting_integration_spec.rb[1:8:1]                                    | passed | 0.00342 seconds |
./spec/models/accounting_integration_spec.rb[1:9:1]                                    | passed | 0.00339 seconds |
./spec/models/accounting_integration_spec.rb[1:9:2]                                    | passed | 0.00394 seconds |
./spec/models/accounting_integration_spec.rb[1:10:1]                                   | passed | 0.00324 seconds |
./spec/models/accounting_integration_spec.rb[1:10:2]                                   | passed | 0.02128 seconds |
./spec/models/accounting_integration_spec.rb[1:11:1]                                   | passed | 0.00184 seconds |
./spec/models/accounting_integration_spec.rb[1:11:2]                                   | passed | 0.00178 seconds |
./spec/models/accounting_sync_spec.rb[1:1:1]                                           | passed | 0.18495 seconds |
./spec/models/accounting_sync_spec.rb[1:1:2]                                           | passed | 0.18455 seconds |
./spec/models/accounting_sync_spec.rb[1:2:1]                                           | passed | 0.18436 seconds |
./spec/models/accounting_sync_spec.rb[1:2:2]                                           | passed | 0.1846 seconds  |
./spec/models/accounting_sync_spec.rb[1:2:3]                                           | passed | 0.18357 seconds |
./spec/models/accounting_sync_spec.rb[1:3:1:1]                                         | passed | 0.187 seconds   |
./spec/models/accounting_sync_spec.rb[1:3:2:1]                                         | passed | 0.18732 seconds |
./spec/models/accounting_sync_spec.rb[1:3:3:1]                                         | passed | 0.36976 seconds |
./spec/models/accounting_sync_spec.rb[1:4:1]                                           | passed | 0.18592 seconds |
./spec/models/accounting_sync_spec.rb[1:5:1]                                           | passed | 0.18554 seconds |
./spec/models/accounting_sync_spec.rb[1:6:1]                                           | passed | 0.18462 seconds |
./spec/models/accounting_sync_spec.rb[1:6:2]                                           | passed | 0.18647 seconds |
./spec/models/accounting_sync_spec.rb[1:6:3]                                           | passed | 0.19047 seconds |
./spec/models/accounting_sync_spec.rb[1:7:1]                                           | passed | 0.18465 seconds |
./spec/models/accounting_sync_spec.rb[1:7:2]                                           | passed | 0.1852 seconds  |
./spec/models/accounting_sync_spec.rb[1:7:3]                                           | passed | 0.1847 seconds  |
./spec/models/accounting_sync_spec.rb[1:7:4]                                           | passed | 0.18492 seconds |
./spec/models/accounting_sync_spec.rb[1:8:1]                                           | passed | 0.1869 seconds  |
./spec/models/accounting_sync_spec.rb[1:9:1]                                           | passed | 0.18304 seconds |
./spec/models/accounting_sync_spec.rb[1:9:2]                                           | passed | 0.18324 seconds |
./spec/models/accounting_sync_spec.rb[1:9:3]                                           | passed | 0.18395 seconds |
./spec/models/accounting_sync_spec.rb[1:10:1]                                          | passed | 0.18409 seconds |
./spec/models/accounting_sync_spec.rb[1:11:1]                                          | passed | 0.18368 seconds |
./spec/models/accounting_sync_spec.rb[1:12:1]                                          | passed | 0.18315 seconds |
./spec/models/accounting_sync_spec.rb[1:12:2]                                          | passed | 0.18321 seconds |
./spec/models/accounting_sync_spec.rb[1:12:3]                                          | passed | 0.18343 seconds |
./spec/models/api_key_spec.rb[1:1:1]                                                   | passed | 0.00116 seconds |
./spec/models/api_key_spec.rb[1:2:1]                                                   | passed | 0.00215 seconds |
./spec/models/api_key_spec.rb[1:2:2]                                                   | passed | 0.00111 seconds |
./spec/models/api_key_spec.rb[1:2:3]                                                   | passed | 0.00319 seconds |
./spec/models/api_key_spec.rb[1:2:4]                                                   | passed | 0.00112 seconds |
./spec/models/api_key_spec.rb[1:3:1]                                                   | passed | 0.00297 seconds |
./spec/models/api_key_spec.rb[1:3:2]                                                   | passed | 0.00941 seconds |
./spec/models/api_key_spec.rb[1:4:1:1]                                                 | passed | 0.00328 seconds |
./spec/models/api_key_spec.rb[1:4:2:1]                                                 | passed | 0.0035 seconds  |
./spec/models/api_key_spec.rb[1:4:3:1]                                                 | passed | 0.0035 seconds  |
./spec/models/api_key_spec.rb[1:4:4:1]                                                 | passed | 0.00232 seconds |
./spec/models/api_key_spec.rb[1:4:4:2]                                                 | passed | 0.00234 seconds |
./spec/models/api_key_spec.rb[1:4:5:1]                                                 | passed | 0.00258 seconds |
./spec/models/api_key_spec.rb[1:5:1]                                                   | passed | 0.00112 seconds |
./spec/models/api_key_spec.rb[1:6:1]                                                   | passed | 0.00094 seconds |
./spec/models/api_key_spec.rb[1:6:2]                                                   | passed | 0.00092 seconds |
./spec/models/api_key_spec.rb[1:7:1]                                                   | passed | 0.00775 seconds |
./spec/models/api_key_spec.rb[1:8:1]                                                   | passed | 0.00113 seconds |
./spec/models/api_key_spec.rb[1:8:2]                                                   | passed | 0.00064 seconds |
./spec/models/calendar_connection_spec.rb[1:1:1]                                       | passed | 0.00133 seconds |
./spec/models/calendar_connection_spec.rb[1:2:1]                                       | passed | 0.17766 seconds |
./spec/models/calendar_connection_spec.rb[1:2:2]                                       | passed | 0.17987 seconds |
./spec/models/calendar_connection_spec.rb[1:2:3:1]                                     | passed | 0.1805 seconds  |
./spec/models/calendar_connection_spec.rb[1:2:4:1]                                     | passed | 0.17691 seconds |
./spec/models/calendar_connection_spec.rb[1:3:1:1]                                     | passed | 0.18196 seconds |
./spec/models/calendar_connection_spec.rb[1:3:2:1]                                     | passed | 0.18016 seconds |
./spec/models/calendar_connection_spec.rb[1:3:3:1]                                     | passed | 0.17883 seconds |
./spec/models/calendar_connection_spec.rb[1:3:4:1]                                     | passed | 0.17846 seconds |
./spec/models/calendar_connection_spec.rb[1:4:1:1]                                     | passed | 0.17858 seconds |
./spec/models/calendar_connection_spec.rb[1:4:2:1]                                     | passed | 0.17752 seconds |
./spec/models/calendar_connection_spec.rb[1:4:3:1]                                     | passed | 0.17673 seconds |
./spec/models/calendar_connection_spec.rb[1:4:3:2]                                     | passed | 0.1787 seconds  |
./spec/models/calendar_connection_spec.rb[1:4:3:3]                                     | passed | 0.17651 seconds |
